,Name,Address,Rating,street_and_number,state,postal_code,heritage,gender,gift
0,Psychic Advice & Tarot Readings by Amy,"170 Delancey St, Ste 2, New York, NY 10002",5,"170 Delancey St, Ste 2, New York, ",NY,10002,yes,female,inherited
1,The Source Cards,"14 Wall St, New York, NY 10005",5,"14 Wall St, New York, ",NY,10005,no,male,life-changing experience
2,Readings By Faith,"213 E 45th St, Manhattan, NY 10017",5,"213 E 45th St, Manhattan, ",NY,10017,no,female,innate
3,Derek Calibre,"135 W 95th St, New York, NY 10025",5,"135 W 95th St, New York, ",NY,10025,no,male,NaN
4,Drew McClain,"656 Saint Nicholas Ave, New York, NY 10030",5,"656 Saint Nicholas Ave, New York, ",NY,10030,no,male,innate
5,Angel Eye Astrology,"204 E7th St, New York, NY 10009",5,"204 E7th St, New York, ",NY,10009,no,female,NaN
6,Sarah's Visions,"167 W 48th St, Fl 3, New York, NY 10036",5,"167 W 48th St, Fl 3, New York, ",NY,10036,yes,female,inherited
7,Aum Shanti Bookshop & Crystal Gallery,"230 E 14th St, New York, NY 10003",5,"230 E 14th St, New York, ",NY,10003,no,male,life-changing experience
8,Jessica Psychic Readings,"229 E 11th St, New York, NY 10003",5,"229 E 11th St, New York, ",NY,10003,no,female,NaN
9,Molly Burkett,"89 5th Ave, New York, NY 10003",5,"89 5th Ave, New York, ",NY,10003,no,female,NaN
10,Song of Sparrows,"347 fifth Ave, Ste 610, New York, NY 10016",5,"347 fifth Ave, Ste 610, New York, ",NY,10016,yes,female,innate
11,Readings by Maria,"1527 York Ave, New York, NY 10028",5,"1527 York Ave, New York, ",NY,10028,yes,female,inherited
12,New York City Psychic,"67 Irving Pl, Fl 2, New York, NY 10012",5,"67 Irving Pl, Fl 2, New York, ",NY,10012,no,female,NaN
13,SoHo Astrology,"21 Cleveland Pl, New York, NY 10009",5,"21 Cleveland Pl, New York, ",NY,10009,yes,female,inherited
14,Tarot Card Reader Angela Lucy,"7 E 14th St, Apt 17J, Manhattan, NY 10003",5,"7 E 14th St, Apt 17J, Manhattan, ",NY,10003,no,female,NaN
15,Psychic Reader & Advisor Lisa,"123 Ludlow St, New York, NY 10002",5,"123 Ludlow St, New York, ",NY,10002,yes,female,inherited
16,Stick Stone & Bone,"113 Christopher St, New York, NY 10014",5,"113 Christopher St, New York, ",NY,10014,no,female,NaN
17,Williamsburg psychic Visions And Life Coach,"494 Grand St, Brooklyn, NY 11211",5,"494 Grand St, Brooklyn, ",NY,11211,yes,female,inherited
18,NYC Love Guide,"54 E 8th St, New York, NY 10003",5,"54 E 8th St, New York, ",NY,10003,no,female,NaN
19,OMMA,"104 W 40th St, Ste 500, New York City, NY 10018",5,"104 W 40th St, Ste 500, New York City, ",NY,10018,no,female,innate
20,Psychic Readings - Love & Relationships Expert,"351 East 18 st, New York, NY 10003",5,"351 East 18 st, New York, ",NY,10003,no,NaN,NaN
21,The British Psychic,"420 Lexington Ave., Ste 1459, 14th Fl, New York, NY 10017",5,"420 Lexington Ave., Ste 1459, 14th Fl, New York, ",NY,10017,yes,female,NaN
22,Enchantments,"165 Avenue B, New York, NY 10009",5,"165 Avenue B, New York, ",NY,10009,no,NaN,NaN
23,The New York Medium,"61 W. 62nd Street, New York, NY 10023",5,"61 W. 62nd Street, New York, ",NY,10023,no,female,life-changing experience
24,Center for True Health,"135 W 29th St, Ste 604A, New York, NY 10001",5,"135 W 29th St, Ste 604A, New York, ",NY,10001,no,female,NaN
25,Spiritual Consultants & Love analysts,"9 Clinton St, New York, NY 10002",5,"9 Clinton St, New York, ",NY,10002,yes,female,inherited
26,Psychic Readings by Lisa,"13 St Marks Pl, Ste 3F, New York, NY 10003",5,"13 St Marks Pl, Ste 3F, New York, ",NY,10003,no,female,NaN
27,Elaine Psychic,"202 6th Ave, New York, NY 10013",5,"202 6th Ave, New York, ",NY,10013,no,female,NaN
28,Tribeca Energy Studio,"11 Lispenard St, New York, NY 10013",5,"11 Lispenard St, New York, ",NY,10013,yes,female,inherited
